test_id,claim_index,claim,support,supported,reason
449086b68a9f66e1,12,Families of hostages have expressed moral dilemmas regarding aid to Gaza while their loved ones remain captive.,text_only,True,The protesters described delivering aid while their loved ones were held by Hamas as 'a moral failure' and feared the aid could reach Hamas.
3ee8ef988f72fa5d,1,The evidence does not provide information about a mother in a UK court after her children's deaths in Colorado.,text_only,True,The evidence does not mention Colorado or a mother in a UK court after her children's deaths; it instead discusses other court cases and family-court reporting.
3ee8ef988f72fa5d,2,The evidence discusses family court reporting in England and Wales.,both,True,Evidence [1] explicitly discusses family court reporting and a pilot scheme allowing journalists and bloggers into courts in England and Wales.
3ee8ef988f72fa5d,3,The evidence discusses a trial involving a mother in Michigan for her son's school shooting.,both,True,Evidence [2] explicitly discusses Jennifer Crumbley's trial in Michigan concerning her son's school shooting.
3ee8ef988f72fa5d,4,The evidence discusses a trial concerning the manslaughter of a baby by the baby's parents.,both,True,Evidence [3] and [4] discuss Constance Marten and Mark Gordon's trial for the manslaughter of their baby.
3ee8ef988f72fa5d,5,The topics discussed in the evidence are unrelated to the query about a mother in a UK court after her children's deaths in Colorado.,text_only,True,"The evidence covers family-court reporting, a Michigan school-shooting case, the Marten-Gordon baby-manslaughter trial, and a Post Office appeal; none concerns a mother in a UK court after her children's deaths in Colorado."
3ee8ef988f72fa5d,6,The evidence is insufficient to address the query.,text_only,True,The evidence is sufficient to identify what topics it discusses and to show that the stated query is not addressed.
f924c3bb5f74d6ee,1,New footage and reports detail a mid-air blowout on an Alaska Airlines flight.,text_only,True,The evidence reports the Alaska Airlines mid-air blowout and includes images/video references and passenger accounts.
f924c3bb5f74d6ee,2,The blowout forced the flight to make an emergency landing.,text_only,True,The evidence explicitly states that the blowout forced an emergency landing.
f924c3bb5f74d6ee,3,The incident resulted in no serious injuries.,text_only,True,The evidence explicitly says the incident resulted in no serious injuries.
f924c3bb5f74d6ee,4,A section of the plane's fuselage detached during the incident.,text_only,True,The evidence states that part of the plane's fuselage fell off and that the detached section was found.
f924c3bb5f74d6ee,5,The detached section created a significant gap in the plane's fuselage.,both,True,The evidence describes a large gap in the fuselage and shows the opening in the supplied images.
f924c3bb5f74d6ee,6,Passengers described the gap as being as wide as a refrigerator.,text_only,True,The evidence explicitly reports that one passenger described the gap as wide as a refrigerator.
f924c3bb5f74d6ee,7,Boeing is facing scrutiny over quality control.,text_only,True,The evidence describes renewed scrutiny of Boeing and identifies the incident as a quality-control failure or 'quality escape.'
f924c3bb5f74d6ee,8,Boeing has pledged to increase inspections of its production practices.,text_only,True,The evidence says Boeing planned additional inspections throughout the build process and would increase quality inspections.
f924c3bb5f74d6ee,9,Boeing has pledged to allow external assessments of its production practices.,text_only,True,The evidence says an outside party would assess Boeing's production practices and that Boeing would allow independent assessments.
f924c3bb5f74d6ee,10,Investigators noted that the aircraft had been deemed airworthy shortly before the incident.,text_only,True,The evidence states that the aircraft was judged airworthy by the FAA when delivered to Alaska Airlines in October.
f924c3bb5f74d6ee,11,Warnings about maintenance were made before the flight.,text_only,True,The evidence says an additional maintenance look was requested before the incident and that the aircraft had warnings days earlier.
f924c3bb5f74d6ee,12,The maintenance warnings were not addressed before the flight.,text_only,True,The evidence explicitly says the requested additional maintenance look was not completed before the incident.
