test_id,query,rank_alpha_0,rank_alpha_0.25,rank_alpha_0.5,rank_alpha_0.75,rank_alpha_0.9,rank_alpha_1,rank_rrf
2026eddde0012398,What are Vaughan Gething's plans for expanding free childcare?,318,47,4,2,1,1,22
e48cc811265585b7,Why are there refunds after delays on the UK's first battery-powered trains?,2,1,1,1,1,1,1
659180caa8e66436,What are the future funding concerns for City of Derry Airport?,1,1,1,1,1,1,1
20b1962140bc5cbf,Why did a junior doctor leave Wales for Australia?,2,1,1,1,1,1,1
76c73482b88ceeb4,"Is it difficult to buy a home, according to NatWest chair?",9,2,1,1,1,1,2
3ab4ecbbabd704fe,Why was a Russian man convicted for flying to LA without a passport?,44,3,1,1,1,1,4
4c3077ea0e756377,What are the flood alerts in Wales due to Storm Isha and 90mph winds?,1,1,1,1,1,1,1
3e864e526a463658,Why is Santander increasing mortgage rates despite competition?,1,1,1,1,1,1,1
547d73519eaab701,Why does a teen fear their mum will be jailed over a disappearance?,20,4,1,1,2,2,1
8eb2b07b09405730,How was a Chinese teen found alive in the US after a cyber kidnapping?,82,14,1,1,1,1,7
37eb40c52e57d2f8,Why was the Ecuador prosecutor probing the TV studio attack killed?,8,2,1,1,1,1,2
1a55cb6493b98bf7,Why did eBay pay a fine in a blogger harassment case?,1,1,1,1,1,1,1
002453fbc7cdd591,What happened to a US-owned container ship in the Gulf of Aden?,10,8,3,1,1,1,1
68f81195e7c4e812,How did racism affect the treatment of Post Office victims over Horizon?,4,1,1,1,1,1,1
05599929e63a4ae5,Why is the stop the boats policy considered a fake response to migration issues by the UN?,294,68,21,4,2,2,30
ee751b99c65afbd2,Why did schoolboys make fun of a girl before her death?,6,1,1,1,1,1,1
a351be2c5cc88427,What happened to a man and woman walking a dog in Maidstone?,38,8,3,3,3,3,5
a7aaa61d7385b36f,Why did Sylvester Stallone's Expend4bles lead the Razzie nominations?,40,2,1,1,1,1,5
14759f4911c236d0,Why did the NRA chief executive step down?,1,1,1,1,1,1,1
c4bf315c5f3589d8,What is the connection between maths and kitchen hobs in a concrete crisis school?,8,2,1,1,1,1,2
dca85cf93983eaf6,What happened during a week of missile strikes across the Middle East?,25,15,8,1,2,3,5
22af0e72018f16d3,Why are parents in Wales taking the fight for holiday school meals to court?,1,1,1,1,1,1,1
32e54494ffef902e,How long will the cold weather last as flooding continues?,2,1,1,1,1,1,1
1a4e315aeda0cfa6,How many times has Rory McIlroy won the Dubai Desert Classic?,1,1,1,1,1,1,1
cd74713d27a4daf9,Why were Rochdale mouldy homes tenants told they breathed too much?,219,59,7,2,2,2,17
c21dbad21d88c336,How can boosting sport help reduce school absences?,1,1,1,1,1,1,1
7d93e7078bc0498e,What is on display in Dorset related to a colossal pliosaur sea monster?,1,1,1,1,1,1,1
6481eb9da7932b29,Why did Monmouthshire council spend £870k on a car park amid cuts?,1,1,1,1,1,1,1
8446993f74dcfd24,Why did Ohio uphold the ban on child transgender procedures despite the governor's veto?,1,1,1,1,1,1,1
d4c86faf2a4774e3,How much money did MrBeast make from his X video?,7,2,2,2,2,2,2
340ccc210ef9ddf9,Why was a man sentenced to death for the Kyoto anime fire?,1,1,1,1,1,1,1
5338e7eac50e4e1d,Could Woolworths return to British High Streets?,1,1,1,1,1,1,1
57f67219c9ab0596,Why did a TV actor criticise the Post Office boss?,168,46,26,17,14,11,31
7e15d077b01f697e,Why did a dog with six legs have an operation to remove extra limbs?,1,1,1,1,1,1,1
9ef1efa205440a7f,How did a dad and daughter start as mental health nurses together?,1,1,1,1,1,1,1
14959417647b94ee,Why is the BBC defending Dragons' Den after criticism of Acu Seeds?,5,2,1,1,1,1,2
8e32e0ffa7a63583,Why were two men jailed for the murder of Caroline Glachan?,4,1,1,1,1,1,1
dd030cfe95586093,Why should political leaders treat opponents as human beings?,399,171,24,3,2,1,28
68dff2083ec42999,"Is growing skincare use by children dangerous, according to dermatologists?",5,2,1,1,1,1,1
a35d9fef3fc501a0,Why did Norway approve deep-sea mining?,1,1,1,1,1,1,1
7b5466cc3023f467,Why did Emma Raducanu pull out of the charity match before the Australian Open?,1,1,1,1,1,1,1
c8f33c5ba41e199b,What happened in the market in a Russia-held city in Ukraine?,9,3,3,2,3,4,2
983767de831d0023,Why have millions lost access to free NHS earwax removal?,11,1,1,1,1,1,2
e33da30aca447347,Will families miss out on expanded free childcare despite delays?,1,1,1,1,1,1,1
071cf1365a27add8,What happened to Hamas deputy leader Saleh al-Arouri in Beirut?,3,3,3,4,5,5,3
45cf978061fcfd60,"What happened to Sir Roy Calne, the pioneering Cambridge surgeon?",1,1,1,1,1,1,1
f33c78fa581e6f6b,Why did a Fujitsu manager call a sub-postmaster a 'nasty chap'?,36,12,3,3,2,2,8
012b4151ae9331f7,Who was on the Golden Globes red carpet?,2,1,1,1,1,1,1
108be638ceef764c,What is the Royal Family tree and line of succession?,1,1,1,1,1,1,1
418b14a5344f8480,Why did NASA delay the crewed return to the Moon's surface?,2,1,1,1,1,1,1
637cc4c8a3e7684c,What do voters think of party leaders?,20,6,3,2,3,6,4
649af1ba434362ef,What happened to the sub-postmistress in the Horizon scandal?,54,24,24,22,22,22,24
a7569273c6ebdea8,Why did Netanyahu reject the US push for a Palestinian state?,2,1,2,2,2,2,2
1ee23c51ff253af9,Why are teenagers accused in half of child abuse cases?,43,11,5,2,3,3,5
c4817cf6da9d276d,What caused the major rioting and looting in Papua New Guinea that left at least 15 dead?,1,1,1,1,1,1,1
372cc1e11885b993,Why are there protests in Kenya against violence towards women?,1,1,1,1,1,1,1
35701a5855a35135,Why was the White House not informed for days about the defence secretary being in the hospital?,38,4,2,3,3,3,2
ef28489876e8ed7d,Why did Boohoo put 'Made in UK' labels on clothes made overseas?,1,1,1,1,1,1,1
d7c989c71313fc1b,What did Keir Starmer say about Horizon prosecutions?,2,1,1,1,1,1,1
89c9c071ad2933e8,What happened when a Japan Airlines plane burst into flames on a Tokyo runway?,2,1,1,1,1,1,1
9b014383333a7c4c,Why does the new boss say Ofsted needs more empathy after Ruth Perry's death?,2,1,1,1,1,1,2
a145164e6e07abb2,Why was the accused unaware that the toddler was injured in the Alfie Phillips murder trial?,2,3,3,3,3,3,2
83238963d98f26df,Can sunlight save the Slim Moon lander in Japan?,1,1,1,1,1,1,1
07d55b7ade44e0fe,Why does the bee-harming neonicotinoid pesticide have emergency approval again?,1,1,1,1,1,1,1
b885c0b75341edb1,Why did William visit Kate in the hospital after surgery?,7,2,2,3,3,3,4
bec2d2efb59b7695,Why haven't US strikes on Houthis in Yemen stopped Red Sea attacks?,167,51,26,17,14,13,40
33feedbb07048c53,Why are scammers targeting desperate pet owners?,2,1,1,1,1,1,1
52cdef222ff450e1,What did Kate Garraway say about her husband's death?,2,1,1,1,1,1,2
01a527d8b8ec1f3c,What does the French report say about the UK's effort on small boats?,4,1,1,1,1,1,1
0d5517e7afcf1b99,What tributes have been paid to the former Olympic cyclist after her car death?,2,1,1,1,1,1,1
4982f84ecabb3268,What happened in the Hezbollah missile attack involving an Israeli woman and her son?,46,17,4,2,2,1,11
a1e9418851345958,What caused the mystery house fire that led to the couple's death in Pembrokeshire?,2,1,1,1,1,1,1
79ffb0252216a333,Can head teachers request a pause as inspections resume?,24,5,1,1,1,1,6
9db5be45872825e5,What are the true colors of Neptune and Uranus?,1,1,1,1,1,1,1
bc63b6f049c97209,Why are train ticket machines charging double the online price?,1,1,1,1,1,1,1
0d4db02711e24409,What questions remain after Chris Mason's justice?,387,189,67,24,17,13,46
449086b68a9f66e1,What is a father's pain at his daughter's captivity in Gaza?,18,11,11,10,12,14,10
49ae5e99d7592688,Why was William Finlay jailed for 20 years in the Alyson Nelson murder case?,254,48,1,1,1,1,23
ebbf63f11046aceb,Why doesn't Bronson Battersby's sister blame social services for his death?,195,19,1,1,1,1,9
14d07d729cffb380,"Could the UK get money back, according to the Rwandan president?",2,1,1,1,2,2,1
4f9dbeaf028667ca,Has Rishi Sunak ruled out a spring election?,6,1,1,1,1,1,1
766653dfbc9292d4,Why was the Dragons' Den episode edited after complaints about the Giselle Boxer pitch?,1,1,1,1,1,1,1
cd1b3698bac190fe,Why does Wales' tidy mouse love 'mousekeeping'?,38,3,1,1,1,1,3
86d9a3b4e22c3a86,Has the mystery of the Cerne Abbas Giant been solved?,1,1,1,1,1,1,1
cc8171e45271345c,What allegations does Prince Andrew face from unsealed US court documents about Jeffrey Epstein?,1,1,2,2,4,4,2
c8181a314508e810,What missiles were fired at Belgorod and occupied Crimea in the Ukraine war?,2,2,2,2,1,1,2
30d40a64a8b3a024,What are the accusations against the US senator regarding gifts from Qatar?,3,1,1,1,1,1,1
c2a48580d13608f6,What warning did the chief whip issue to Tory MPs who rebelled on Rwanda?,4,1,1,2,2,4,1
3cce1f2ebb4ab7bc,Why are public rights of way blocked in so many places?,89,13,2,1,1,1,8
eabeb712fc18a46b,What were the wind speeds recorded during Storm Jocelyn in the UK?,57,9,3,1,1,1,16
ef09bed7263a6f1c,What options are ministers considering to speed up justice in the Post Office scandal?,2,1,2,2,3,8,2
3f974a31602790ec,How can NHS data sales fuel a tech boom?,368,123,11,1,1,1,29
0251e08dd2c44ed1,Why are NI road gritters going on strike for a week?,1,1,1,1,1,1,1
991dfb0ad328e47a,How were Wolverhampton grandmother's abusers caught?,93,38,11,4,3,4,16
67440434549864f7,What did The Last Dinner Party win at BBC Radio 1's Sound Of 2024?,1,1,1,1,1,1,1
3af7a7ba409e2d0a,What is the US Vulcan rocket's mission to the Moon?,5,1,1,1,2,2,3
6ff196b636b2949c,Why are schools closing in the UK due to the weather?,1,1,1,1,1,1,1
dfa2c18c40abb141,Why is the Italian culture minister being probed over a stolen painting?,2,2,1,1,1,1,1
b36197da28081b41,"Why is Amazon cutting jobs at Twitch, MGM, and Prime Video?",1,1,1,1,1,1,1
b8886c368431e207,Why was the Sunderland footballer cleared of rape?,1,1,1,1,1,2,1
fe0a1561794c2b3f,What happened to a hotel in Kharkiv during the Ukraine war?,4,1,1,1,1,1,1
